Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_336	4	P14649,P60660,P55084,P17661	MYL6B_HUMAN,MYL6_HUMAN,ECHB_HUMAN,DESM_HUMAN	2	P17661,P55084,	P14649,P60660,	-	REACT_20923~ATP Bound Smooth Muscle Myosin Complex [cytosol] (8.90e-04)	-	-	GO:0016461|unconventional myosin complex (2.20e-03)	-	-	-	multicellularity
C_337	4	Q6XQN6,P00492,Q8TDW7,P07741	PNCB_HUMAN,HPRT_HUMAN,FAT3_HUMAN,APT_HUMAN	0	P00492,P07741,Q6XQN6,Q8TDW7,	-	-	-	-	-	-	-	-	-	multicellularity
C_338	4	Q9Y487,Q6ZRP7,O75431,Q00325	VPP2_HUMAN,QSOX2_HUMAN,MTX2_HUMAN,MPCP_HUMAN	0	O75431,Q00325,Q6ZRP7,Q9Y487,	-	-	-	-	-	-	-	-	-	vertebrates
C_339	4	Q5JTD0,Q9Y570,Q9Y266,P04080	TJAP1_HUMAN,PPME1_HUMAN,NUDC_HUMAN,CYTB_HUMAN	0	P04080,Q5JTD0,Q9Y266,Q9Y570,	-	-	-	-	-	-	-	-	-	multicellularity
C_340	4	Q99805,P04844,P30101,P27824	TM9S2_HUMAN,RPN2_HUMAN,PDIA3_HUMAN,CALX_HUMAN	2	P04844,Q99805,	P27824,P30101,	-	REACT_24059~unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone:ERp57 [endoplasmic reticulum lumen] (3.25e-04)	-	HPRD_79::in vitro and in vivo (6.82e-04)	-	-	-	-	multicellularity
C_341	4	P12004,Q13112,Q13111,Q9NWV8	PCNA_HUMAN,CAF1B_HUMAN,CAF1A_HUMAN,BABA1_HUMAN	3	Q9NWV8,	P12004,Q13111,Q13112,	CORUM_2234::Chromatin assembly complex (CAF-1 complex) (2.07e-04)	-	PINdb_105::CAF-1 Complex- DNA replication (6.52e-03)	HPRD_2837::in vivo (4.03e-04)	GO:0033186|CAF-1 complex (7.95e-04)	AM000228 (1.62e-04)	-	Y_307 (7.44E-04)	vertebrates
C_342	4	A6NFI3,Q9UQR1,Q96MX6,Q15126	ZN316_HUMAN,ZN148_HUMAN,WDR92_HUMAN,PMVK_HUMAN	0	A6NFI3,Q15126,Q96MX6,Q9UQR1,	-	-	-	-	-	-	-	-	-	multicellularity
C_343	4	Q96PF2,P17600,Q9BXP5,O43166	TSSK2_HUMAN,SYN1_HUMAN,SRRT_HUMAN,SI1L1_HUMAN	0	O43166,P17600,Q96PF2,Q9BXP5,	-	-	-	-	-	-	-	-	-	vertebrates
C_344	4	O75410,O00584,Q9UHG3,O14745	TACC1_HUMAN,RNT2_HUMAN,PCYOX_HUMAN,NHRF1_HUMAN	0	O00584,O14745,O75410,Q9UHG3,	-	-	-	-	-	-	-	-	-	vertebrates
C_345	4	O00193,Q01105,P14649,P60660	SMAP_HUMAN,SET_HUMAN,MYL6B_HUMAN,MYL6_HUMAN	2	O00193,Q01105,	P14649,P60660,	-	REACT_20923~ATP Bound Smooth Muscle Myosin Complex [cytosol] (9.09e-04)	-	-	GO:0016461|unconventional myosin complex (2.26e-03)	-	-	-	multicellularity
C_346	4	Q9HAV4,Q9GZS3,Q9Y6N9,Q9Y5K5	XPO5_HUMAN,WDR61_HUMAN,USH1C_HUMAN,UCHL5_HUMAN	0	Q9GZS3,Q9HAV4,Q9Y5K5,Q9Y6N9,	-	-	-	-	-	-	-	-	-	vertebrates
C_347	4	P49755,Q9UKN8,Q6NZI2,Q03135	TMEDA_HUMAN,TF3C4_HUMAN,PTRF_HUMAN,CAV1_HUMAN	2	Q6NZI2,Q9UKN8,	P49755,Q03135	-	-	-	-	-	-	-	-	vertebrates
C_348	4	Q9Y2Z0,P25815,Q96CN5,Q13619	SUGT1_HUMAN,S100P_HUMAN,LRC45_HUMAN,CUL4A_HUMAN	2	Q13619,Q96CN5	Q9Y2Z0,P25815	-	-	-	-	-	-	-	-	vertebrates
C_349	4	Q9Y490,Q15742,P05556,P08648	TLN1_HUMAN,NAB2_HUMAN,ITB1_HUMAN,ITA5_HUMAN	2	Q15742,Q9Y490,	P05556,P08648,	CORUM_2385::ITGA5-ITGB4 complex (8.77e-05)	REACT_12335~Integrin alpha5beta1 [plasma membrane] (1.26e-04)	-	HPRD_274::in vitro and in vivo (3.97e-04)	-	-	-	-	vertebrates
C_350	4	Q6NZY4,Q96RU2,Q29980,O14578	ZCHC8_HUMAN,UBP28_HUMAN,MICB_HUMAN,CTRO_HUMAN	0	O14578,Q29980,Q6NZY4,Q96RU2,	-	-	-	-	-	-	-	-	-	vertebrates
C_351	4	O00165,Q92839,Q8TEQ6,Q01844	HAX1_HUMAN,HAS1_HUMAN,GEMI5_HUMAN,EWS_HUMAN	0	O00165,Q01844,Q8TEQ6,Q92839,	-	-	-	-	-	-	-	-	-	vertebrates
C_352	4	Q6PML9,P35080,Q9BQ95,O43143	ZNT9_HUMAN,PROF2_HUMAN,ECSIT_HUMAN,DHX15_HUMAN	0	O43143,P35080,Q6PML9,Q9BQ95,	-	-	-	-	-	-	-	-	-	multicellularity
C_353	4	P40818,P62253,Q9NSD9,Q9Y285	UBP8_HUMAN,UB2G1_HUMAN,SYFB_HUMAN,SYFA_HUMAN	2	P40818,P62253,	Q9NSD9,Q9Y285,	-	REACT_16104~FARS A2B2 tetramer [cytosol] (1.38e-04)	-	-	-	PM000542 (1.57e-04)	F_86 (5.86E-04)	Y_579 (6.20E-04)	Plants &Protists
C_354	4	Q9BZK7,O00233,Q14019,O95400	TBL1R_HUMAN,PSMD9_HUMAN,COTL1_HUMAN,CD2B2_HUMAN	0	O00233,O95400,Q14019,Q9BZK7,	-	-	-	-	-	-	-	-	-	Fungi
C_355	4	Q9HCC0,O94992,Q9H5V9,P10809	MCCB_HUMAN,HEXI1_HUMAN,CX056_HUMAN,CH60_HUMAN	0	O94992,P10809,Q9H5V9,Q9HCC0,	-	-	-	-	-	-	-	-	-	vertebrates
C_356	4	A8MWD9,P11117,P20645,Q15067	RUXGL_HUMAN,PPAL_HUMAN,MPRD_HUMAN,ACOX1_HUMAN	0	A8MWD9,P11117,P20645,Q15067,	-	-	-	-	-	-	-	-	-	vertebrates
C_357	4	Q9HAU5,Q6ZRQ5,Q6PI98,Q9NRG0	RENT2_HUMAN,MMS22_HUMAN,IN80C_HUMAN,CHRC1_HUMAN	0	Q6PI98,Q6ZRQ5,Q9HAU5,Q9NRG0,	-	-	-	-	-	-	-	-	-	vertebrates
C_358	4	Q7Z2W4,Q96DA6,Q9NWH9,O00442	ZCCHV_HUMAN,TIM14_HUMAN,SLTM_HUMAN,RTC1_HUMAN	0	O00442,Q7Z2W4,Q96DA6,Q9NWH9,	-	-	-	-	-	-	-	-	-	vertebrates
C_359	4	Q9UQE7,Q14683,O60216,Q6KC79	SMC3_HUMAN,SMC1A_HUMAN,RAD21_HUMAN,NIPBL_HUMAN	3	Q6KC79,	O60216,Q14683,Q9UQE7,	CORUM_163::Cohesin-SA2 complex (9.72e-07)	REACT_3430~Cohesin Complex [nucleoplasm] (8.36e-06)	PINdb_125::cohesin-2 Complex- DNA replication (8.20e-05)	HPRD_3073::in vivo (1.97e-06)	GO:0030893|meiotic cohesin complex (2.23e-03)	AM000047 (6.12e-05)	-	Y_285 (8.41E-08)	vertebrates
C_360	4	O43264,Q9NYU2,P50748,Q7Z460	ZW10_HUMAN,UGGG1_HUMAN,KNTC1_HUMAN,CLAP1_HUMAN	3	Q9NYU2,	O43264,P50748,Q7Z460,	-	REACT_15105~RZZ complex [cytosol] (3.10e-04)	-	HPRD_2480::in vivo (6.64e-04)	-	AM002532 (3.91e-04)	-	-	vertebrates
C_361	4	Q8WX93,P42126,P14854,Q15067	PALLD_HUMAN,ECI1_HUMAN,CX6B1_HUMAN,ACOX1_HUMAN	0	P14854,P42126,Q15067,Q8WX93,	-	-	-	-	-	-	-	-	-	multicellularity
C_362	4	Q9UJC5,Q14914,Q06830,P30086	SH3L2_HUMAN,PTGR1_HUMAN,PRDX1_HUMAN,PEBP1_HUMAN	0	P30086,Q06830,Q14914,Q9UJC5,	-	-	-	-	-	-	-	-	-	vertebrates
C_363	4	Q7Z6E9,Q06323,Q9NRX4,Q9HBI1	RBBP6_HUMAN,PSME1_HUMAN,PHP14_HUMAN,PARVB_HUMAN	0	Q06323,Q7Z6E9,Q9HBI1,Q9NRX4,	-	-	-	-	-	-	-	-	-	vertebrates
C_364	4	Q96PK2,P63241,P55265,Q92841	MACF4_HUMAN,IF5A1_HUMAN,DSRAD_HUMAN,DDX17_HUMAN	0	P55265,P63241,Q92841,Q96PK2,	-	-	-	-	-	-	-	-	-	vertebrates
C_365	4	Q96TA2,P51398,Q92552,Q9Y3D9	YMEL1_HUMAN,RT29_HUMAN,RT27_HUMAN,RT23_HUMAN	3	Q96TA2,	P51398,Q92552,Q9Y3D9,	CORUM_315::28S ribosomal subunit, mitochondrial (4.38e-04)	-	-	-	-	PM000493 (1.25e-04)	-	-	vertebrates
C_366	4	P12081,P42356,P11413,P41214	SYHC_HUMAN,PI4KA_HUMAN,G6PD_HUMAN,EIF2D_HUMAN	0	P11413,P12081,P41214,P42356,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_367	4	Q6P4R8,Q9ULG1,Q6PI98,Q9H981	NFRKB_HUMAN,INO80_HUMAN,IN80C_HUMAN,ARP8_HUMAN	4	-	Q6P4R8,Q6PI98,Q9H981,Q9ULG1,	CORUM_302::INO80 chromatin remodeling complex (1.57e-07)	-	PINdb_215::hINO80 Complex- transcription (6.39e-05)	HPRD_2553::in vitro and in vivo (4.32e-07)	GO:0031011|Ino80 complex (1.90e-06)	AM000096 (5.44e-07)	-	-	vertebrates
C_368	4	P57721,Q01813,P17858,P08237	PCBP3_HUMAN,K6PP_HUMAN,K6PL_HUMAN,K6PF_HUMAN	3	P57721,	P08237,P17858,Q01813,	-	REACT_5684~phosphofructokinase, ML3 complex [cytosol] (1.32e-04)	-	-	GO:0005945|6-phosphofructokinase complex (3.06e-04)	AM000512 (8.55e-07)	-	Y_305 (3.72E-04)	vertebrates
C_369	4	P49591,Q8WX93,Q58FG1,O43716	SYSC_HUMAN,PALLD_HUMAN,HS904_HUMAN,GATCL_HUMAN	0	O43716,P49591,Q58FG1,Q8WX93,	-	-	-	-	-	-	-	-	-	birds
C_370	4	O14949,O14957,Q9H7Z7,Q96KA5	QCR8_HUMAN,QCR10_HUMAN,PGES2_HUMAN,CLP1L_HUMAN	2	Q96KA5,Q9H7Z7,	O14949,O14957,	-	REACT_6527~Ubiquinol-cytochrome c reductase [mitochondrial inner membrane] (3.38e-03)	-	-	-	-	-	-	multicellularity
C_371	4	Q9C0D4,Q9NVG8,Q9Y6Y8,Q2M296	Z518B_HUMAN,TBC13_HUMAN,S23IP_HUMAN,MTHSD_HUMAN	0	Q2M296,Q9C0D4,Q9NVG8,Q9Y6Y8,	-	-	-	-	-	-	-	-	-	vertebrates
C_372	4	O95219,Q75QN2,Q9NVH2,Q9H0H0	SNX4_HUMAN,INT8_HUMAN,INT7_HUMAN,INT2_HUMAN	3	O95219,	Q75QN2,Q9H0H0,Q9NVH2,	CORUM_1154::DSS1 complex (4.13e-05)	-	PINdb_213::Integrator Complex- RNA processing (7.86e-03)	-	GO:0032039|integrator complex (2.03e-04)	AM000088 (3.31e-04)	-	-	multicellularity
C_373	4	Q15061,Q8TED0,O95071,Q969X6	WDR43_HUMAN,UTP15_HUMAN,UBR5_HUMAN,CIR1A_HUMAN	0	O95071,Q15061,Q8TED0,Q969X6,	-	-	-	-	-	-	PM000577 (1.11e-03)	-	Y_2 (4.37E-03)	multicellularity
C_374	4	Q7L1V2,Q9NS86,P48637,P50750	MON1B_HUMAN,LANC2_HUMAN,GSHB_HUMAN,CDK9_HUMAN	0	P48637,P50750,Q7L1V2,Q9NS86,	-	-	-	-	-	-	-	-	-	vertebrates
C_375	4	P55072,P49321,O75369,O60678	TERA_HUMAN,NASP_HUMAN,FLNB_HUMAN,ANM3_HUMAN	0	O60678,O75369,P49321,P55072,	-	-	-	-	-	-	-	-	-	vertebrates
C_376	4	Q8TEA7,Q92783,Q9HD47,O14964	TBCK_HUMAN,STAM1_HUMAN,MOG1_HUMAN,HGS_HUMAN	2	Q8TEA7,Q9HD47,	O14964,Q92783,	-	REACT_27831~ESCRT-0 [cytosol] (3.17e-04)	-	HPRD_964::in vivo (3.90e-04)	-	AM001303 (3.95e-04)	-	Y_276 (7.44E-04)	multicellularity
C_377	4	O15173,P11182,P33527,Q8NE86	PGRC2_HUMAN,ODB2_HUMAN,MRP1_HUMAN,C109A_HUMAN	0	O15173,P11182,P33527,Q8NE86,	-	-	-	-	-	-	-	-	-	multicellularity
C_378	4	Q9NUN5,Q07666,A1L0T0,P07910	LMBD1_HUMAN,KHDR1_HUMAN,ILVBL_HUMAN,HNRPC_HUMAN	0	A1L0T0,P07910,Q07666,Q9NUN5,	-	-	-	-	-	-	-	-	-	vertebrates
C_379	4	Q99848,Q96GQ7,Q8TDN6,Q9BZZ5	EBP2_HUMAN,DDX27_HUMAN,BRX1_HUMAN,API5_HUMAN	2	Q96GQ7,Q9BZZ5,	Q8TDN6,Q99848,	-	-	-	-	-	-	-	Y_1 (9.12E-03)	vertebrates
C_380	4	P53007,Q5SRD1,Q9UJ83,Q96A26	TXTP_HUMAN,TI23B_HUMAN,HACL1_HUMAN,F162A_HUMAN	0	P53007,Q5SRD1,Q96A26,Q9UJ83,	-	-	-	-	-	-	-	-	-	vertebrates
C_381	4	Q07157,Q9UMY4,Q9NQC3,Q16270	ZO1_HUMAN,SNX12_HUMAN,RTN4_HUMAN,IBP7_HUMAN	0	Q07157,Q16270,Q9NQC3,Q9UMY4,	-	-	-	-	-	-	-	-	-	multicellularity
C_382	4	Q15070,Q92887,Q14126,Q9Y6H1	OXA1L_HUMAN,MRP2_HUMAN,DSG2_HUMAN,CHCH2_HUMAN	0	Q14126,Q15070,Q92887,Q9Y6H1,	-	-	-	-	-	-	-	-	-	vertebrates
C_383	4	Q9UH65,P11908,P60891,Q96DM3	SWP70_HUMAN,PRPS2_HUMAN,PRPS1_HUMAN,MIC1_HUMAN	0	P11908,P60891,Q96DM3,Q9UH65,	-	-	-	-	-	-	-	-	-	multicellularity
C_384	4	Q12888,P57740,P05976,Q9BR76	TP53B_HUMAN,NU107_HUMAN,MYL1_HUMAN,COR1B_HUMAN	0	P05976,P57740,Q12888,Q9BR76,	-	-	-	-	-	-	-	-	-	vertebrates
C_385	4	P51649,Q9BQ15,P04179,Q92733	SSDH_HUMAN,SOSB1_HUMAN,SODM_HUMAN,PRCC_HUMAN	0	P04179,P51649,Q92733,Q9BQ15,	-	-	-	-	-	-	-	-	-	vertebrates
C_386	4	O00401,Q9Y6W5,Q9BXK1,Q96RU3	WASL_HUMAN,WASF2_HUMAN,KLF16_HUMAN,FNBP1_HUMAN	2	Q96RU3,Q9BXK1,	O00401,Q9Y6W5,	-	-	-	HPRD_2696::in vitro and in vivo (4.95e-03)	-	-	-	Y_84 (6.19E-03)	vertebrates
C_387	4	Q8NH73,Q15843,Q9Y3D2,O14672	OR4S2_HUMAN,NEDD8_HUMAN,MSRB2_HUMAN,ADA10_HUMAN	0	O14672,Q15843,Q8NH73,Q9Y3D2,	-	-	-	-	-	-	-	-	-	vertebrates
C_388	4	P12081,P41214,O60739,P41567	SYHC_HUMAN,EIF2D_HUMAN,EIF1B_HUMAN,EIF1_HUMAN	0	O60739,P12081,P41214,P41567,	-	-	-	-	-	-	-	-	-	Plants &Protists
C_389	4	Q5MNZ6,Q969T9,Q16831,Q9BZX2	WIPI3_HUMAN,WBP2_HUMAN,UPP1_HUMAN,UCK2_HUMAN	0	Q16831,Q5MNZ6,Q969T9,Q9BZX2,	-	-	-	-	-	-	-	-	-	multicellularity
C_390	4	P48553,P35241,P15311,P52824	TPC10_HUMAN,RADI_HUMAN,EZRI_HUMAN,DGKQ_HUMAN	2	P48553,P52824,	P15311,P35241,	-	REACT_22835~ERM:PIP2 [plasma membrane] (3.06e-04)	-	HPRD_1784::in vitro (6.55e-04)	-	-	-	-	vertebrates
C_391	4	Q9Y5T5,Q15012,P48730,O00425	UBP16_HUMAN,LAP4A_HUMAN,KC1D_HUMAN,IF2B3_HUMAN	0	O00425,P48730,Q15012,Q9Y5T5,	-	-	-	-	-	-	-	-	-	vertebrates
C_392	4	P20618,Q04721,Q96T58,Q9NVF7	PSB1_HUMAN,NOTC2_HUMAN,MINT_HUMAN,FBX28_HUMAN	0	P20618,Q04721,Q96T58,Q9NVF7,	-	-	-	-	-	-	-	-	-	vertebrates
C_393	4	Q16773,Q9H223,Q9H4M9,P52824	KAT1_HUMAN,EHD4_HUMAN,EHD1_HUMAN,DGKQ_HUMAN	0	P52824,Q16773,Q9H223,Q9H4M9,	-	-	-	-	-	-	-	-	-	vertebrates
C_394	4	Q05682,O43707,P35609,P12814	CALD1_HUMAN,ACTN4_HUMAN,ACTN2_HUMAN,ACTN1_HUMAN	3	Q05682,	O43707,P12814,P35609,	-	REACT_24676~Nephrin dimer:adherins junction-associated proteins [membrane] (3.15e-05)	-	HPRD_5::in vitro and in vivo (3.84e-04)	-	-	-	-	vertebrates
C_395	4	P37275,P52655,Q96EB6,P09960	ZEB1_HUMAN,TF2AA_HUMAN,SIRT1_HUMAN,LKHA4_HUMAN	0	P09960,P37275,P52655,Q96EB6,	-	-	-	-	-	-	-	-	-	vertebrates
C_396	4	Q15836,P16070,P16615,P08195	VAMP3_HUMAN,CD44_HUMAN,AT2A2_HUMAN,4F2_HUMAN	2	P16615,Q15836,	P16070,P08195	-	-	-	-	-	-	-	-	vertebrates
C_397	4	Q9UPT8,O95785,Q96RU2,P34896	ZC3H4_HUMAN,WIZ_HUMAN,UBP28_HUMAN,GLYC_HUMAN	0	O95785,P34896,Q96RU2,Q9UPT8,	-	-	-	-	-	-	-	-	-	vertebrates
C_398	4	Q9NSD9,Q9Y285,P29317,P13639	SYFB_HUMAN,SYFA_HUMAN,EPHA2_HUMAN,EF2_HUMAN	2	P13639,P29317,	Q9NSD9,Q9Y285,	-	REACT_16104~FARS A2B2 tetramer [cytosol] (1.30e-04)	-	-	-	PM000542 (1.70e-04)	F_86 (3.51E-04)	Y_579 (1.16E-03)	Fungi
C_399	4	Q9NZT2,P04731,Q9UNF1,Q14657	OGFR_HUMAN,MT1A_HUMAN,MAGD2_HUMAN,LAGE3_HUMAN	0	P04731,Q14657,Q9NZT2,Q9UNF1,	-	-	-	-	-	-	-	-	-	mammals
C_400	4	Q9BXU7,P68036,Q2TAA8,Q9NQ88	UBP26_HUMAN,UB2L3_HUMAN,TXIP1_HUMAN,TIGAR_HUMAN	0	P68036,Q2TAA8,Q9BXU7,Q9NQ88,	-	-	-	-	-	-	-	-	-	vertebrates
C_401	5	Q9BRT9,Q9BRX5,Q9Y248,Q14691,Q9Y6K9	SLD5_HUMAN,PSF3_HUMAN,PSF2_HUMAN,PSF1_HUMAN,NEMO_HUMAN	4	Q9Y6K9,	Q14691,Q9BRT9,Q9BRX5,Q9Y248,	CORUM_678::GINS complex (1.29e-09)	REACT_7704~GINS complex [nucleoplasm] (1.25e-06)	-	-	-	AM000092 (7.33e-09)	-	Y_157 (7.12E-11)	vertebrates
C_402	5	Q9H900,Q9H0E2,Q9BTF0,Q9Y5X2,Q2T9F4	ZWILC_HUMAN,TOLIP_HUMAN,THUM2_HUMAN,SNX8_HUMAN,IN4L2_HUMAN	0	Q2T9F4,Q9BTF0,Q9H0E2,Q9H900,Q9Y5X2,	-	-	-	-	-	-	-	-	-	vertebrates
C_403	5	Q6NUK1,Q16706,Q27J81,P11166,P08174	SCMC1_HUMAN,MA2A1_HUMAN,INF2_HUMAN,GTR1_HUMAN,DAF_HUMAN	0	P08174,P11166,Q16706,Q27J81,Q6NUK1,	-	-	-	-	-	-	-	-	-	vertebrates
C_404	5	O60504,Q9NPD8,Q9BRA2,Q96Q11,Q9HD15	VINEX_HUMAN,UBE2T_HUMAN,TXD17_HUMAN,TRNT1_HUMAN,SRA1_HUMAN	0	O60504,Q96Q11,Q9BRA2,Q9HD15,Q9NPD8,	-	-	-	-	-	-	-	-	-	vertebrates
C_405	5	Q86UV5,Q9BZF9,Q2TAY7,Q15276,O94953	UBP48_HUMAN,UACA_HUMAN,SMU1_HUMAN,RABE1_HUMAN,KDM4B_HUMAN	0	O94953,Q15276,Q2TAY7,Q86UV5,Q9BZF9,	-	-	-	-	-	-	-	-	-	vertebrates
C_406	5	Q9BVA1,Q13885,P68363,Q15293,Q96GA3	TBB2B_HUMAN,TBB2A_HUMAN,TBA1B_HUMAN,RCN1_HUMAN,LTV1_HUMAN	3	Q15293,Q96GA3,	P68363,Q13885,Q9BVA1,	-	REACT_18200~alpha-beta heterodimer [cytosol] (1.83e-04)	-	-	-	-	-	-	Fungi
C_407	5	Q5VT52,Q15555,Q9BTT6,Q8WYQ5,Q9H211	RPRD2_HUMAN,MARE2_HUMAN,LRRC1_HUMAN,DGCR8_HUMAN,CDT1_HUMAN	0	Q15555,Q5VT52,Q8WYQ5,Q9BTT6,Q9H211,	-	-	-	-	-	-	-	-	-	vertebrates
C_408	5	P08729,O75367,Q9P0M6,Q9BTC0,P45973	K2C7_HUMAN,H2AY_HUMAN,H2AW_HUMAN,DIDO1_HUMAN,CBX5_HUMAN	3	P08729,Q9BTC0,	O75367,P45973,Q9P0M6,	CORUM_551::TDT-TDIF2-core-histone complex (5.89e-04)	-	-	HPRD_3000::in vivo (1.09e-02)	-	-	-	-	vertebrates
C_409	5	O60313,Q15818,Q9NQR4,Q13011,O00115	OPA1_HUMAN,NPTX1_HUMAN,NIT2_HUMAN,ECH1_HUMAN,DNS2A_HUMAN	0	O00115,O60313,Q13011,Q15818,Q9NQR4,	-	-	-	-	-	-	-	-	-	vertebrates
C_410	5	Q15149,P14923,Q15155,Q86UE4,P16144	PLEC_HUMAN,PLAK_HUMAN,NOMO1_HUMAN,LYRIC_HUMAN,ITB4_HUMAN	2	P14923,Q15155,Q86UE4,	P16144,Q15149,	-	REACT_21067~Integrin alpha 6:beta 4:Plectin complex [plasma membrane] (4.71e-04)	-	-	-	-	-	-	vertebrates
C_411	5	Q5VUA4,Q16851,P05161,Q7Z745,Q9ULA0	ZN318_HUMAN,UGPA_HUMAN,ISG15_HUMAN,HTRB2_HUMAN,DNPEP_HUMAN	0	P05161,Q16851,Q5VUA4,Q7Z745,Q9ULA0,	-	-	-	-	-	-	-	-	-	vertebrates
C_412	5	P79522,Q9Y2Q5,Q6IAA8,Q86YQ8,A8MQ03	PRR3_HUMAN,LTOR2_HUMAN,LTOR1_HUMAN,CPNE8_HUMAN,CI169_HUMAN	2	A8MQ03,P79522,Q86YQ8,	Q6IAA8,Q9Y2Q5,	-	-	-	-	GO:0071986|Ragulator complex (1.28e-03)	-	-	-	vertebrates
C_413	5	Q96I51,P35232,Q08380,Q9NZI8,O60506	WBS16_HUMAN,PHB_HUMAN,LG3BP_HUMAN,IF2B1_HUMAN,HNRPQ_HUMAN	2	P35232,Q08380,Q96I51,	O60506,Q9NZI8,	-	-	-	-	GO:0070937|CRD-mediated mRNA stability complex (3.37e-03)	-	-	-	vertebrates
C_414	5	Q9P2R7,P50213,Q9UBQ7,P78310,P52594	SUCB1_HUMAN,IDH3A_HUMAN,GRHPR_HUMAN,CXAR_HUMAN,AGFG1_HUMAN	0	P50213,P52594,P78310,Q9P2R7,Q9UBQ7,	-	-	-	-	-	-	-	-	-	vertebrates
C_415	5	P49768,P37198,Q86XA9,Q96I24,Q9Y4J8	PSN1_HUMAN,NUP62_HUMAN,HTR5A_HUMAN,FUBP3_HUMAN,DTNA_HUMAN	0	P37198,P49768,Q86XA9,Q96I24,Q9Y4J8,	-	-	-	-	-	-	-	-	-	vertebrates
C_416	5	Q9UHX1,Q15056,P06730,P31942,O14979	PUF60_HUMAN,IF4H_HUMAN,IF4E_HUMAN,HNRH3_HUMAN,HNRDL_HUMAN	2	O14979,P31942,Q9UHX1,	P06730,Q15056,	-	REACT_2596~mRNA:eIF4F:eIF4B:eIF4H [cytosol] (2.05e-03)	-	-	GO:0016281|eukaryotic translation initiation factor 4F complex (8.40e-03)	-	-	-	multicellularity
C_417	5	P35658,Q8N183,P43897,O75521,Q9NPJ3	NU214_HUMAN,MIMIT_HUMAN,EFTS_HUMAN,ECI2_HUMAN,ACO13_HUMAN	0	O75521,P35658,P43897,Q8N183,Q9NPJ3,	-	-	-	-	-	-	-	-	-	multicellularity
C_418	5	Q6PGP7,Q15477,Q86TU7,Q9UHB4,Q15811	TTC37_HUMAN,SKIV2_HUMAN,SETD3_HUMAN,NDOR1_HUMAN,ITSN1_HUMAN	2	Q15811,Q86TU7,Q9UHB4,	Q15477,Q6PGP7,	CORUM_1168::SKI complex (3.25e-04)	-	PINdb_210::hSKI Complex- RNA degradation (9.83e-03)	-	-	-	-	Y_80 (9.28E-03)	vertebrates
C_419	5	Q14764,Q14739,Q49A26,P50402,Q08211	MVP_HUMAN,LBR_HUMAN,GLYR1_HUMAN,EMD_HUMAN,DHX9_HUMAN	0	P50402,Q08211,Q14739,Q14764,Q49A26,	-	-	-	-	-	-	-	-	-	vertebrates
C_420	5	Q8N9F8,P56589,Q9NPL8,P28288,P33897	ZN454_HUMAN,PEX3_HUMAN,CC001_HUMAN,ABCD3_HUMAN,ABCD1_HUMAN	2	P56589,Q8N9F8,Q9NPL8,	P28288,P33897,	-	REACT_111625~ABCD1:ABCD3 [cytosol] (1.96e-04)	-	-	-	-	-	-	vertebrates
C_421	5	Q02878,Q92901,Q9H0U3,Q9P2B2,O60885	RL6_HUMAN,RL3L_HUMAN,MAGT1_HUMAN,FPRP_HUMAN,BRD4_HUMAN	2	O60885,Q9H0U3,Q9P2B2,	Q02878,Q92901,	-	-	-	-	-	-	-	-	vertebrates
C_422	5	O43318,Q9NR33,Q9NRF9,P56282,Q07864	M3K7_HUMAN,DPOE4_HUMAN,DPOE3_HUMAN,DPOE2_HUMAN,DPOE1_HUMAN	5	-	O43318,P56282,Q07864,Q9NR33,Q9NRF9,	CORUM_1108::DNA synthesome complex (15 subunits) (1.39e-06)	REACT_8099~DNA polymerase epsilon:G-strand extended telomere end [nucleoplasm] (1.91e-04)	-	HPRD_1520::in vitro and in vivo (1.35e-06)	GO:0005671|Ada2/Gcn5/Ada3 transcription activator complex (7.14e-04)	AM000348 (7.00e-09)	F_11 (0.0188)	Y_108 (4.20E-06)	Fungi
C_423	5	Q9Y5L4,P11216,P54886,P50502,Q99829	TIM13_HUMAN,PYGB_HUMAN,P5CS_HUMAN,F10A1_HUMAN,CPNE1_HUMAN	0	P11216,P50502,P54886,Q99829,Q9Y5L4,	-	-	-	-	-	-	-	-	-	Fungi
C_424	5	Q13428,Q9UIU6,P50897,Q15818,Q9NQR4	TCOF_HUMAN,SIX4_HUMAN,PPT1_HUMAN,NPTX1_HUMAN,NIT2_HUMAN	0	P50897,Q13428,Q15818,Q9NQR4,Q9UIU6,	-	-	-	-	-	-	-	-	-	vertebrates
C_425	5	P24752,Q9H4B7,Q04837,Q8N108,Q96EH3	THIL_HUMAN,TBB1_HUMAN,SSBP_HUMAN,MIER1_HUMAN,CG030_HUMAN	0	P24752,Q04837,Q8N108,Q96EH3,Q9H4B7,	-	-	-	-	-	-	-	-	-	vertebrates
